Employee_ID,Full_Name,Age,Gender,Department,Job_Title,Education,Hire_Date,Salary,Years_At_Company,Job_Satisfaction,Performance_Rating,Monthly_Hours,Attrition,Region,Payment_Method,Phone,Email
EMP00001,Employee_1,59,fm,Mktg,analyst,Bachelors,2021/01/11,"25,000",7,5,4,60,NO,EUR,direct deposit,608.834.6257,employee_1@company.com
EMP00002,Employee_2,,M,IT,Director,MASTER,2022-06-17,"25,000",12,2,1,47,no,N. America,CASH,774-262-5380,employee_2@company.com
EMP00003,Employee_3,35,M,LEGAL,manager,Bachelors,07/07/2023,"90,443",15,3,2,68,No,Apac,cash,334 259 8799,employee_3@company.com
EMP00004,Employee_4,28,F,,assoc,HS,2013-02-24,$25000,11,5,5,53,No,Asia Pacific,direct deposit,671 938 8168,employee_4@company.com
EMP00005,Employee_5,41,,Finance,director,associate,17/10/2013,"76,538",16,5,2,42,Stayed,Mid East,Direct Deposit,937 303 4682,employee_5@company.com
EMP00006,Employee_6,59,fmale,OPERATIONS,Sr Manager,Masters,2020-04-19,$57637,17,3,,63,N,Asia Pacific,Cash,467.263.2008,employee_6@company.com
EMP00007,Employee_7,39,fm,Engineering,Manager,Bachelor,10-29-2016,$42475,7,4,3,77,Stayed,Latin America,DD,645 494 5205,employee_7@company.com
EMP00008,Employee_8,43,MALE,I.T,manager,bachelor,03/05/2015,$54333,17,1,3,74,NO,middle east,wire transfer,630.386.1376,employee_8@company.com
EMP00009,Employee_9,31,MALE,Operations,lead,HighSchool,06-17-2015,"32,773",10,4,4,50,NO,APAC,Wire,(747) 238-5524,employee_9@company.com
EMP00010,Employee_10,,fmale,Engg,manager,MASTER,17/12/2023,57.0k,12,4,2,62,Yes,europe,cash,263 346 8803,employee_10@company.com
EMP00011,Employee_11,44,fm,sales,Senior Analyst,Bachelors,27-Jun-2011,"65,435",11,2,1,64,N,EUR,Direct Deposit,953.464.1207,employee_11@company.com
EMP00012,Employee_12,56,FEMALE,Legal,intern,Assoc Degree,,54594,14,4,5,57,yes,APAC,direct deposit,,employee_12@company.com
EMP00013,Employee_13,,M,Finance,Snr Analyst,Associate,08/10/2014,50.4k,24,1,3,63,NO,Europe,cash,847.612.4337,employee_13@company.com
EMP00014,Employee_14,44,Female,Ops,analyst,PhD,05-25-2010,71.4k,2,5,5,54,Stayed,asia pacific,Direct Deposit,718-413-5787,employee_14@company.com
